"Field code","Section","Question","Type","Required","Sensitivity","External AI","Default application use","Purpose / notes","Help text","Options","Validation","Duplicate code in source"
"ELIG-02","02 — Work authorization, mobility & availability","Countries where you currently have the unrestricted right to work","Paragraph","No","PRIVATE","NO","Application screening only","Work authorization","Country — basis of work right — expiry if any.","","","NO"
"ELIG-03","02 — Work authorization, mobility & availability","Current visa, residence permit or work permit","Paragraph","No","PRIVATE","NO","Application screening only","Work authorization","Country — permit/stamp/type — expiry month/year — working-hour or employer restrictions.","","","NO"
"ELIG-04","02 — Work authorization, mobility & availability","Will you require employer sponsorship now?","Multiple choice","No","PRIVATE","NO","Application screening only","Sponsorship","","No | Yes | Depends on country / role | Unsure | Prefer not to say","","NO"
"ELIG-05","02 — Work authorization, mobility & availability","Might you require sponsorship in the future?","Multiple choice","No","PRIVATE","NO","Application screening only","Future sponsorship","","No | Yes | Depends on country / role | Unsure | Prefer not to say","","NO"
"ELIG-06","02 — Work authorization, mobility & availability","Do you hold a currently valid passport?","Multiple choice","No","RESTRICTED","NO","Travel eligibility only","International travel readiness","Do not enter the passport number.","Yes | No | Renewal in progress | Prefer not to say","","NO"
"ELIG-07","02 — Work authorization, mobility & availability","Passport issuing country/countries and expiry month/year","Paragraph","No","RESTRICTED","NO","Travel eligibility only","Travel readiness","Do not provide passport numbers or scans.","","","NO"
"MOB-01","02 — Work authorization, mobility & availability","Preferred working arrangements","Checkboxes","No","CAREER","YES","Matching and screening","Work arrangement","","On-site | Hybrid | Fully remote | Field-based | No preference","","NO"
"MOB-02","02 — Work authorization, mobility & availability","Locations you are willing to work in or relocate to","Paragraph","No","CAREER","YES","Matching and screening","Mobility preferences","Countries, cities, regions, or “worldwide.”","","","NO"
"MOB-03","02 — Work authorization, mobility & availability","Locations you do not want","Paragraph","No","PRIVATE","LIMITED","Internal filtering only","Candidate boundaries","","","","NO"
"MOB-04","02 — Work authorization, mobility & availability","Maximum work travel you would accept","Multiple choice","No","CAREER","YES","Screening","Travel preference","","None | Up to 10% | Up to 25% | Up to 50% | More than 50% | Depends on role","","NO"
"MOB-05","02 — Work authorization, mobility & availability","Driving licence(s), vehicle access or transport qualifications","Paragraph","No","PRIVATE","LIMITED","Relevant applications only","Role eligibility","Country — licence class/category — expiry — vehicle access if relevant.","","","NO"
"AVAIL-01","02 — Work authorization, mobility & availability","Earliest possible start date","Short answer","No","PRIVATE","LIMITED","Application screening only","Availability","","","","NO"
"AVAIL-02","02 — Work authorization, mobility & availability","Notice period","Short answer","No","PRIVATE","LIMITED","Application screening only","Availability","Example: immediate, 2 weeks, 1 month.","","","NO"
"AVAIL-03","02 — Work authorization, mobility & availability","Working-time constraints or preferences","Paragraph","No","PRIVATE","NO","Screening only","Availability and lawful scheduling","Full/part time, days/hours, shifts, weekends, time zones, study restrictions, or other limits.","","","NO"
"PREF-01","03 — Career direction & opportunity rules","Target job titles","Paragraph","No","CAREER","YES","Opportunity filtering","Career direction","List exact titles plus close alternatives.","","","NO"
"PREF-02","03 — Career direction & opportunity rules","Target seniority","Checkboxes","No","CAREER","YES","Opportunity filtering","Seniority","","Internship | Apprenticeship | Entry level / graduate | Associate | Mid-level | Senior | Lead | Manager | Head / director | Executive | Consultant / contractor | Academic / research","","NO"
"PREF-03","03 — Career direction & opportunity rules","Target job families","Checkboxes","No","CAREER","YES","Opportunity filtering","Role family","","Administration | AI / machine learning | Communications / media | Consulting / strategy | Customer service | Data / analytics | Design / creative | Education / training | Engineering | Environment / climate / sustainability | Finance / accounting | Healthcare / social care | HR / people | IT / cybersecurity | Legal / compliance | Logistics / procurement | Marketing / growth | Operations / project management | Policy / government | Research / academia | Sales / business development | Software / product | Trades / hospitality / retail | UN / NGO / international development","","NO"
"PREF-04","03 — Career direction & opportunity rules","Target industries, causes or thematic areas","Paragraph","No","CAREER","YES","Opportunity filtering","Sector preferences","Include sectors you know and sectors you want to enter.","","","NO"
"PREF-05","03 — Career direction & opportunity rules","Employment types","Checkboxes","No","CAREER","YES","Opportunity filtering","Contract preference","","Permanent | Fixed-term | Temporary | Internship | Apprenticeship | Consultancy | Freelance | Part-time | Full-time | Volunteer / fellowship","","NO"
"PREF-06","03 — Career direction & opportunity rules","Preferred organisation types","Paragraph","No","CAREER","YES","Opportunity filtering","Employer preference","Examples: start-up, SME, multinational, government, university, UN, NGO, social enterprise.","","","NO"
"PREF-07","03 — Career direction & opportunity rules","Dream organisations or roles","Paragraph","No","CAREER","YES","Internal opportunity planning","Aspirational targets","","","","NO"
"PREF-08","03 — Career direction & opportunity rules","Employers, industries or role types to exclude","Paragraph","No","PRIVATE","NO","Internal filtering only","Candidate boundaries","Include ethical conflicts, competitors, conflicts of interest, or roles you simply do not want.","","","NO"
"PREF-09","03 — Career direction & opportunity rules","Must-have conditions","Paragraph","No","PRIVATE","NO","Internal filtering and approval","Candidate non-negotiables","Examples: visa sponsorship, minimum hours, remote option, accessible workplace, mission alignment.","","","NO"
"PREF-10","03 — Career direction & opportunity rules","Salary / rate expectations","Paragraph","No","PRIVATE","NO","Use only with approval","Compensation screening","Amount or range — currency — hourly/daily/monthly/annual — gross/net if known — negotiability.","","","NO"
"PREF-11","03 — Career direction & opportunity rules","Benefits or conditions that matter","Paragraph","No","PRIVATE","NO","Internal filtering","Total-reward preference","Examples: pension, leave, learning budget, relocation, health cover, flexible work.","","","NO"
"PREF-12","03 — Career direction & opportunity rules","Current job-search urgency","Multiple choice","No","PRIVATE","LIMITED","Operations only","Service prioritisation","","Exploring | Open to the right role | Actively applying | Urgent | Not currently applying","","NO"
"PREF-13","03 — Career direction & opportunity rules","Application volume and timing preference","Paragraph","No","PRIVATE","NO","Operations only","Application workload","How many applications per week/month, and any deadlines or blackout periods.","","","NO"
"PREF-14","03 — Career direction & opportunity rules","Automatic rejection rules","Paragraph","No","PRIVATE","NO","Internal filtering only","Candidate control","Conditions under which ATG Apply should never recommend or prepare a role.","","","NO"
"PREF-15","03 — Career direction & opportunity rules","Roles that require special approval","Paragraph","No","PRIVATE","NO","Internal approval only","Candidate control","Examples: relocation, lower salary, night shifts, politically exposed organisations.","","","NO"
"NARR-01","04 — Professional identity & career narrative","Years of relevant professional experience","Short answer","No","CAREER","YES","CV/application","Experience level","You may give a range.","","","NO"
"NARR-02","04 — Professional identity & career narrative","Your 1–2 sentence professional headline","Paragraph","No","CAREER","YES","CV/profile","Short positioning","Who you are, what you do, and the value you create.","","","NO"
"NARR-03","04 — Professional identity & career narrative","Your 50-word professional summary","Paragraph","No","CAREER","YES","CV/profile","Brief positioning","","","","NO"
"NARR-04","04 — Professional identity & career narrative","Your longer professional biography","Paragraph","No","CAREER","YES","Bio and applications","Long positioning","Around 150–250 words; include your direction and strongest evidence.","","","NO"
"NARR-05","04 — Professional identity & career narrative","Top skills and areas of expertise","Paragraph","No","CAREER","YES","CV/application","Core capability","Rank the strongest first; include years or evidence where possible.","","","NO"
"NARR-06","04 — Professional identity & career narrative","Top five career achievements","Paragraph","No","CAREER","YES","CV/application","Impact evidence","What changed because of your work? Add numbers, scale, scope, time, money, quality or impact.","","","NO"
"NARR-07","04 — Professional identity & career narrative","What makes you different from similar candidates?","Paragraph","No","CAREER","YES","Application narrative","Differentiation","","","","NO"
"NARR-08","04 — Professional identity & career narrative","Career changes, gaps or unusual transitions you may want explained","Paragraph","No","PRIVATE","NO","Use only with approval","Accurate chronology","State only what you are comfortable sharing. ATG Apply will not disclose it by default.","","","NO"
"NARR-09","04 — Professional identity & career narrative","Words, claims or positioning you do not want used","Paragraph","No","PRIVATE","NO","Internal writing rule","Candidate voice and boundaries","","","","NO"
"SCH-01","05 — School, secondary education & early development","School / college name and country","Short answer","No","CAREER","YES","Relevant applications","Secondary education","","","","NO"
"SCH-02","05 — School, secondary education & early development","Qualification, subjects and results","Paragraph","No","CAREER","YES","Relevant applications","Secondary qualification","Qualification — subjects — grades/result — grading scale if useful.","","","NO"
"SCH-03","05 — School, secondary education & early development","Attendance dates","Short answer","No","CAREER","YES","Relevant applications","Education chronology","Month/year to month/year.","","","NO"
"SCH-04","05 — School, secondary education & early development","Leadership and responsibilities at school","Paragraph","No","CAREER","YES","Relevant applications","Early leadership","Examples: prefect, class representative, club leader, house captain.","","","NO"
"SCH-05","05 — School, secondary education & early development","Sports, arts, clubs and competitions","Paragraph","No","CAREER","YES","Relevant applications","Activities and transferable skills","Activity — level — role — result/award — year.","","","NO"
"SCH-06","05 — School, secondary education & early development","School awards, scholarships and certificates","Paragraph","No","CAREER","YES","Relevant applications","Early recognition","","","","NO"
"EDU1-01","06 — Higher education","Education 1 — institution and country","Short answer","No","CAREER","YES","CV/application","Higher education","","","","NO"
"EDU1-02","06 — Higher education","Education 1 — degree, field, specialisation and qualification level","Paragraph","No","CAREER","YES","CV/application","Qualification","","","","NO"
"EDU1-03","06 — Higher education","Education 1 — dates, status and actual/expected graduation date","Short answer","No","CAREER","YES","CV/application","Education chronology","","","","NO"
"EDU1-04","06 — Higher education","Education 1 — grade, GPA, classification, rank and honours","Paragraph","No","CAREER","YES","Relevant applications","Academic performance","Include grading scale where useful.","","","NO"
"EDU1-05","06 — Higher education","Education 1 — thesis, dissertation, capstone or major project","Paragraph","No","CAREER","YES","Relevant applications","Research/project evidence","Title — question/problem — method/technology — result — supervisor if relevant.","","","NO"
"EDU1-06","06 — Higher education","Education 1 — relevant modules, practical training and technical work","Paragraph","No","CAREER","YES","Relevant applications","Course relevance","","","","NO"
"EDU1-07","06 — Higher education","Education 1 — leadership, societies, sports, awards, exchange and scholarships","Paragraph","No","CAREER","YES","Relevant applications","Academic activities","","","","NO"
"EDU2-01","06 — Higher education","Education 2 — institution and country","Short answer","No","CAREER","YES","CV/application","Higher education","","","","NO"
"EDU2-02","06 — Higher education","Education 2 — degree, field, specialisation and qualification level","Paragraph","No","CAREER","YES","CV/application","Qualification","","","","NO"
"EDU2-03","06 — Higher education","Education 2 — dates, status and actual/expected graduation date","Short answer","No","CAREER","YES","CV/application","Education chronology","","","","NO"
"EDU2-04","06 — Higher education","Education 2 — grade, GPA, classification, rank and honours","Paragraph","No","CAREER","YES","Relevant applications","Academic performance","Include grading scale where useful.","","","NO"
"EDU2-05","06 — Higher education","Education 2 — thesis, dissertation, capstone or major project","Paragraph","No","CAREER","YES","Relevant applications","Research/project evidence","Title — question/problem — method/technology — result — supervisor if relevant.","","","NO"
"EDU2-06","06 — Higher education","Education 2 — relevant modules, practical training and technical work","Paragraph","No","CAREER","YES","Relevant applications","Course relevance","","","","NO"
"EDU2-07","06 — Higher education","Education 2 — leadership, societies, sports, awards, exchange and scholarships","Paragraph","No","CAREER","YES","Relevant applications","Academic activities","","","","NO"
"EDU3-01","06 — Higher education","Education 3 — institution and country","Short answer","No","CAREER","YES","CV/application","Higher education","","","","NO"
"EDU3-02","06 — Higher education","Education 3 — degree, field, specialisation and qualification level","Paragraph","No","CAREER","YES","CV/application","Qualification","","","","NO"
"EDU3-03","06 — Higher education","Education 3 — dates, status and actual/expected graduation date","Short answer","No","CAREER","YES","CV/application","Education chronology","","","","NO"
"EDU3-04","06 — Higher education","Education 3 — grade, GPA, classification, rank and honours","Paragraph","No","CAREER","YES","Relevant applications","Academic performance","Include grading scale where useful.","","","NO"
"EDU3-05","06 — Higher education","Education 3 — thesis, dissertation, capstone or major project","Paragraph","No","CAREER","YES","Relevant applications","Research/project evidence","Title — question/problem — method/technology — result — supervisor if relevant.","","","NO"
"EDU3-06","06 — Higher education","Education 3 — relevant modules, practical training and technical work","Paragraph","No","CAREER","YES","Relevant applications","Course relevance","","","","NO"
"EDU3-07","06 — Higher education","Education 3 — leadership, societies, sports, awards, exchange and scholarships","Paragraph","No","CAREER","YES","Relevant applications","Academic activities","","","","NO"
"EDU-X01","06 — Higher education","Additional education history","Paragraph","No","CAREER","YES","Relevant applications","Unlimited education history","For each: institution — qualification — location — dates — result — notable work.","","","NO"
"CRED-01","07 — Certifications, licences, memberships & training","Professional certifications","Paragraph","No","CAREER","YES","Relevant applications","Professional credentials","One per line: certificate — issuer — issue date — expiry — credential ID/link — status.","","","NO"
"CRED-02","07 — Certifications, licences, memberships & training","Professional licences or statutory registrations","Paragraph","No","PRIVATE","LIMITED","Relevant screening only","Regulated-role eligibility","Licence/registration — authority — jurisdiction — number only if safe — expiry — restrictions.","","","NO"
"CRED-03","07 — Certifications, licences, memberships & training","Short courses, workshops and mandatory training","Paragraph","No","CAREER","YES","Relevant applications","Training history","Examples: first aid, safeguarding, food safety, H&S, data protection, project methods.","","","NO"
"CRED-04","07 — Certifications, licences, memberships & training","Professional memberships, fellowships and rosters","Paragraph","No","CAREER","YES","Relevant applications","Professional standing","Organisation — membership level — dates — office/committee role.","","","NO"
"CRED-05","07 — Certifications, licences, memberships & training","Security clearances, background checks or eligibility to obtain them","Paragraph","No","RESTRICTED","NO","Screening only","Clearance eligibility","Do not provide certificates or sensitive details here.","","","NO"
"EXP1-01","08 — Employment history","Experience 1 — employer / organisation","Short answer","No","CAREER","YES","CV/application","Employer","","","","NO"
"EXP1-02","08 — Employment history","Experience 1 — job title(s)","Short answer","No","CAREER","YES","CV/application","Role","Include promotions or acting roles.","","","NO"
"EXP1-03","08 — Employment history","Experience 1 — location, work arrangement and employment type","Paragraph","No","CAREER","YES","CV/application","Employment context","City/country — remote/hybrid/on-site/field — permanent/fixed-term/internship/consultancy/freelance.","","","NO"
"EXP1-04","08 — Employment history","Experience 1 — start and end dates","Short answer","No","CAREER","YES","CV/application","Employment chronology","Month/year to month/year or present.","","","NO"
"EXP1-05","08 — Employment history","Experience 1 — organisation/team context and role purpose","Paragraph","No","CAREER","YES","Application narrative","Role context","What did the organisation/team do, who did you serve, and why did your role exist?","","","NO"
"EXP1-06","08 — Employment history","Experience 1 — responsibilities","Paragraph","No","CAREER","YES","CV/application","Work performed","List distinct responsibilities; include frequency, scope and ownership.","","","NO"
"EXP1-07","08 — Employment history","Experience 1 — achievements and measurable results","Paragraph","No","CAREER","YES","CV/application","Impact evidence","Use numbers: people, users, revenue, savings, budget, geography, volume, speed, quality, reach or risk.","","","NO"
"EXP1-08","08 — Employment history","Experience 1 — team, reporting and leadership scope","Paragraph","No","CAREER","YES","Relevant applications","Leadership scope","Manager/reporting line — team size — direct/indirect reports — people supervised/trained/coordinated.","","","NO"
"EXP1-09","08 — Employment history","Experience 1 — stakeholders, budgets, clients and decision scope","Paragraph","No","CAREER","YES","Relevant applications","Complexity and scale","Internal/external stakeholders — countries — budget/portfolio — vendors — authority.","","","NO"
"EXP1-10","08 — Employment history","Experience 1 — tools, systems, methods and standards used","Paragraph","No","CAREER","YES","Relevant applications","Technical/functional evidence","","","","NO"
"EXP2-01","08 — Employment history","Experience 2 — employer / organisation","Short answer","No","CAREER","YES","CV/application","Employer","","","","NO"
"EXP2-02","08 — Employment history","Experience 2 — job title(s)","Short answer","No","CAREER","YES","CV/application","Role","Include promotions or acting roles.","","","NO"
"EXP2-03","08 — Employment history","Experience 2 — location, work arrangement and employment type","Paragraph","No","CAREER","YES","CV/application","Employment context","City/country — remote/hybrid/on-site/field — permanent/fixed-term/internship/consultancy/freelance.","","","NO"
"EXP2-04","08 — Employment history","Experience 2 — start and end dates","Short answer","No","CAREER","YES","CV/application","Employment chronology","Month/year to month/year or present.","","","NO"
"EXP2-05","08 — Employment history","Experience 2 — organisation/team context and role purpose","Paragraph","No","CAREER","YES","Application narrative","Role context","What did the organisation/team do, who did you serve, and why did your role exist?","","","NO"
"EXP2-06","08 — Employment history","Experience 2 — responsibilities","Paragraph","No","CAREER","YES","CV/application","Work performed","List distinct responsibilities; include frequency, scope and ownership.","","","NO"
"EXP2-07","08 — Employment history","Experience 2 — achievements and measurable results","Paragraph","No","CAREER","YES","CV/application","Impact evidence","Use numbers: people, users, revenue, savings, budget, geography, volume, speed, quality, reach or risk.","","","NO"
"EXP2-08","08 — Employment history","Experience 2 — team, reporting and leadership scope","Paragraph","No","CAREER","YES","Relevant applications","Leadership scope","Manager/reporting line — team size — direct/indirect reports — people supervised/trained/coordinated.","","","NO"
"EXP2-09","08 — Employment history","Experience 2 — stakeholders, budgets, clients and decision scope","Paragraph","No","CAREER","YES","Relevant applications","Complexity and scale","Internal/external stakeholders — countries — budget/portfolio — vendors — authority.","","","NO"
"EXP2-10","08 — Employment history","Experience 2 — tools, systems, methods and standards used","Paragraph","No","CAREER","YES","Relevant applications","Technical/functional evidence","","","","NO"
"EXP3-01","08 — Employment history","Experience 3 — employer / organisation","Short answer","No","CAREER","YES","CV/application","Employer","","","","NO"
"EXP3-02","08 — Employment history","Experience 3 — job title(s)","Short answer","No","CAREER","YES","CV/application","Role","Include promotions or acting roles.","","","NO"
"EXP3-03","08 — Employment history","Experience 3 — location, work arrangement and employment type","Paragraph","No","CAREER","YES","CV/application","Employment context","City/country — remote/hybrid/on-site/field — permanent/fixed-term/internship/consultancy/freelance.","","","NO"
"EXP3-04","08 — Employment history","Experience 3 — start and end dates","Short answer","No","CAREER","YES","CV/application","Employment chronology","Month/year to month/year or present.","","","NO"
"EXP3-05","08 — Employment history","Experience 3 — organisation/team context and role purpose","Paragraph","No","CAREER","YES","Application narrative","Role context","What did the organisation/team do, who did you serve, and why did your role exist?","","","NO"
"EXP3-06","08 — Employment history","Experience 3 — responsibilities","Paragraph","No","CAREER","YES","CV/application","Work performed","List distinct responsibilities; include frequency, scope and ownership.","","","NO"
"EXP3-07","08 — Employment history","Experience 3 — achievements and measurable results","Paragraph","No","CAREER","YES","CV/application","Impact evidence","Use numbers: people, users, revenue, savings, budget, geography, volume, speed, quality, reach or risk.","","","NO"
"EXP3-08","08 — Employment history","Experience 3 — team, reporting and leadership scope","Paragraph","No","CAREER","YES","Relevant applications","Leadership scope","Manager/reporting line — team size — direct/indirect reports — people supervised/trained/coordinated.","","","NO"
"EXP3-09","08 — Employment history","Experience 3 — stakeholders, budgets, clients and decision scope","Paragraph","No","CAREER","YES","Relevant applications","Complexity and scale","Internal/external stakeholders — countries — budget/portfolio — vendors — authority.","","","NO"
"EXP3-10","08 — Employment history","Experience 3 — tools, systems, methods and standards used","Paragraph","No","CAREER","YES","Relevant applications","Technical/functional evidence","","","","NO"
"EXP4-01","08 — Employment history","Experience 4 — employer / organisation","Short answer","No","CAREER","YES","CV/application","Employer","","","","NO"
"EXP4-02","08 — Employment history","Experience 4 — job title(s)","Short answer","No","CAREER","YES","CV/application","Role","Include promotions or acting roles.","","","NO"
"EXP4-03","08 — Employment history","Experience 4 — location, work arrangement and employment type","Paragraph","No","CAREER","YES","CV/application","Employment context","City/country — remote/hybrid/on-site/field — permanent/fixed-term/internship/consultancy/freelance.","","","NO"
"EXP4-04","08 — Employment history","Experience 4 — start and end dates","Short answer","No","CAREER","YES","CV/application","Employment chronology","Month/year to month/year or present.","","","NO"
"EXP4-05","08 — Employment history","Experience 4 — organisation/team context and role purpose","Paragraph","No","CAREER","YES","Application narrative","Role context","What did the organisation/team do, who did you serve, and why did your role exist?","","","NO"
"EXP4-06","08 — Employment history","Experience 4 — responsibilities","Paragraph","No","CAREER","YES","CV/application","Work performed","List distinct responsibilities; include frequency, scope and ownership.","","","NO"
"EXP4-07","08 — Employment history","Experience 4 — achievements and measurable results","Paragraph","No","CAREER","YES","CV/application","Impact evidence","Use numbers: people, users, revenue, savings, budget, geography, volume, speed, quality, reach or risk.","","","NO"
"EXP4-08","08 — Employment history","Experience 4 — team, reporting and leadership scope","Paragraph","No","CAREER","YES","Relevant applications","Leadership scope","Manager/reporting line — team size — direct/indirect reports — people supervised/trained/coordinated.","","","NO"
"EXP4-09","08 — Employment history","Experience 4 — stakeholders, budgets, clients and decision scope","Paragraph","No","CAREER","YES","Relevant applications","Complexity and scale","Internal/external stakeholders — countries — budget/portfolio — vendors — authority.","","","NO"
"EXP4-10","08 — Employment history","Experience 4 — tools, systems, methods and standards used","Paragraph","No","CAREER","YES","Relevant applications","Technical/functional evidence","","","","NO"
"EXP-X01","08 — Employment history","Additional employment history","Paragraph","No","CAREER","YES","Relevant applications","Unlimited employment history","For each extra role: employer — title — location — dates — scope — responsibilities — achievements — tools.","","","NO"
"OTHER-01","09 — Internships, apprenticeships, volunteering & career breaks","Internships, traineeships, placements or apprenticeships","Paragraph","No","CAREER","YES","Relevant applications","Early-career experience","For each: organisation — title — location — dates — responsibilities — achievements — supervisor/team — tools.","","","NO"
"OTHER-02","09 — Internships, apprenticeships, volunteering & career breaks","Volunteering, community work, boards and elected leadership","Paragraph","No","CAREER","YES","Relevant applications","Leadership and service","For each: organisation — role — dates — cause — people led — activities — measurable impact.","","","NO"
"OTHER-03","09 — Internships, apprenticeships, volunteering & career breaks","Freelance work, entrepreneurship, family business or independent practice","Paragraph","No","CAREER","YES","Relevant applications","Independent experience","For each: venture/client — role — dates — offering — clients/users — revenue/scale if comfortable — achievements.","","","NO"
"OTHER-04","09 — Internships, apprenticeships, volunteering & career breaks","Career breaks and non-linear periods","Paragraph","No","PRIVATE","NO","Only with approval","Chronology and fair explanation","Optional: dates — description you prefer — skills/activities during the period — whether ATG Apply may mention it.","","","NO"
"PROJ1-01","10 — Projects, products & portfolio work","Project 1 — name, organisation and date","Short answer","No","CAREER","YES","Relevant applications","Project identity","","","","NO"
"PROJ1-02","10 — Projects, products & portfolio work","Project 1 — problem, goal and users/stakeholders","Paragraph","No","CAREER","YES","Relevant applications","Project context","","","","NO"
"PROJ1-03","10 — Projects, products & portfolio work","Project 1 — your exact role and contribution","Paragraph","No","CAREER","YES","Relevant applications","Personal contribution","Distinguish your work from the team’s work.","","","NO"
"PROJ1-04","10 — Projects, products & portfolio work","Project 1 — process, tools and methods","Paragraph","No","CAREER","YES","Relevant applications","Technical/functional evidence","","","","NO"
"PROJ1-05","10 — Projects, products & portfolio work","Project 1 — output, result and measurable impact","Paragraph","No","CAREER","YES","Relevant applications","Impact evidence","","","","NO"
"PROJ1-06","10 — Projects, products & portfolio work","Project 1 — team size, budget, duration and complexity","Paragraph","No","CAREER","YES","Relevant applications","Scope","","","","NO"
"PROJ1-07","10 — Projects, products & portfolio work","Project 1 — evidence URL","Short answer","No","CAREER","YES","Relevant applications","Project evidence","Demo, repository, report, presentation, media or case study.","","url","NO"
"PROJ2-01","10 — Projects, products & portfolio work","Project 2 — name, organisation and date","Short answer","No","CAREER","YES","Relevant applications","Project identity","","","","NO"
"PROJ2-02","10 — Projects, products & portfolio work","Project 2 — problem, goal and users/stakeholders","Paragraph","No","CAREER","YES","Relevant applications","Project context","","","","NO"
"PROJ2-03","10 — Projects, products & portfolio work","Project 2 — your exact role and contribution","Paragraph","No","CAREER","YES","Relevant applications","Personal contribution","Distinguish your work from the team’s work.","","","NO"
"PROJ2-04","10 — Projects, products & portfolio work","Project 2 — process, tools and methods","Paragraph","No","CAREER","YES","Relevant applications","Technical/functional evidence","","","","NO"
"PROJ2-05","10 — Projects, products & portfolio work","Project 2 — output, result and measurable impact","Paragraph","No","CAREER","YES","Relevant applications","Impact evidence","","","","NO"
"PROJ2-06","10 — Projects, products & portfolio work","Project 2 — team size, budget, duration and complexity","Paragraph","No","CAREER","YES","Relevant applications","Scope","","","","NO"
"PROJ2-07","10 — Projects, products & portfolio work","Project 2 — evidence URL","Short answer","No","CAREER","YES","Relevant applications","Project evidence","Demo, repository, report, presentation, media or case study.","","url","NO"
"PROJ-X01","10 — Projects, products & portfolio work","Additional projects","Paragraph","No","CAREER","YES","Relevant applications","Unlimited project history","One project per paragraph using the same structure above.","","","NO"
"PROJ-X02","10 — Projects, products & portfolio work","Confidential projects or work you cannot name","Paragraph","No","PRIVATE","NO","Human review before use","Confidential evidence","Describe the sector, scale, contribution and outcome without disclosing restricted information.","","","NO"
"RES-01","11 — Research, publications, teaching & public contribution","Publications, reports, articles, policy briefs or patents","Paragraph","No","CAREER","YES","Relevant applications","Published work","Citation/title — authorship role — publisher — date — DOI/URL — key contribution.","","","NO"
"RES-02","11 — Research, publications, teaching & public contribution","Research methods, datasets, fieldwork and ethics experience","Paragraph","No","CAREER","YES","Relevant applications","Research capability","Methods — tools — sample/data scale — countries — ethics/approval — outputs.","","","NO"
